text,label,0,1,2,3,4,5,6,7,8,9,10,11
DO NOT LISTEN TO World Health Organization!  They are run by Soros and Bill Gates $’s &amp; NOT to be trusted!  IMO; The coronavirus outbreak is a page right out of Soros NWO playbook.  Come on ppl do your research!,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,3,1,1,3,1
1) It was not spread by snakes or bats. It originated from a lab in #Wuhan. 2) It's worse than #SARS. President Xi is getting hospitals built &amp; putting aside buildings for quarantines. Yet the U.S. Gov't isn't stopping flights from China.🤔 #CoronaOutbreak  #coronavirus #QAnon,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Coronaviruses aren’t new They aren’t made by “big pharma” They don’t come from chemtrails It’s not from “corona” the beer You are actually exposed to #coronavirus all the time - in fact we routinely screen for them at the hospital  Thanks for coming to today’s #TedTalk y’all,COCO evaluation RELATED,1,1,1,1,2,1,1,1,1,1,2,1
Please send some Tesla vehicles that are equipped with Bioweapon Defense Mode to Wuhan for medical supplies transport~ It will be the best marketing with a humanitarian goal. Tesla stocks are heavily affected by the coronavirus today~,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
I HAVE A WEIRD FEELING ABOUT THIS CORONAVIRUS ISSUE. IT WOULDNT SHOCK ME FOR A MINUTE IF CHINA RELEASED THAT VIRUS OUT OF ONE OF THEIR BIOWEAPONS FACILITIES..TO TEST US DEFENSES &amp; INFECT HONG KONG PROTESTERSHAULTING THE PROTESTS  #TUCKER,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,1,1
Jacking to jacking is automatic grave of relevance. All math I performed this week. World has built nothing beyond Ides of March. Coronavirus about slaying copies and those intolerant of others orgasm electromagnetic corona. Raising waters by virus.  Phi Bishkek,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,3,1,1,1
There are reports that China has over 900000 ppl with Corona virus but instructed media not to cover it.... The Coronavirus patent was in 2003 and now it was set to expire this year...COINCIDENCE? There are more ppl in US getting the virus..population control or bio weapon?,COCO evaluation CONSPIRACY,1,1,1,1,3,1,3,1,1,1,3,3
absolutely keep an open mind but we should also consider the evidence we DO have and what we DO know. Genetic analysis of the virus points to a bat coronavirus that passed to humans possibly through another animal. There are a lot of people pushing a silly bioweapon theory.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
You need to understand that Countries don't stop planes and shit borders for dramatic purposes.  Coronavirus is a lab developed virus that is capable of immense harm and death.  Do you think the failing deep state uses soft tactics to save itself?  Hell no.,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,3,1
Why didn’t any of the “spiritual mediums” predict the #2020 #CoronavirusOutbreak? Not even with “I feel the letters C and V they will become important”? Well because there r no valid “mediums”. But if you know somebody who did and is (valid medium) please reply here. 🔮 #Corona,COCO evaluation RELATED,1,1,1,1,1,1,1,1,2,1,1,1
sfw?  defend the coincidence of Corona Wuhan Lab Gates Foundation Pirbright Inst. and timing of many deep state implosions in recent weeks.   Dial a distraction in full flex.  Transfer rate and death rate are not flu like.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,1
Fun reminders for everyone!  1) the Corona virus has a patent  2) there are strands of HIV present inside of it and it’s reaponded to HIV medication  3) Wuhan is the center of 2 major Bioweapon laboratories.  🦇s can’t do this sh.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,1,3
There are reports that China has over 90000 ppl with Corona virus but instructed media not to cover it.... The Coronavirus patent was in 2003 and now it was set to expire this year...COINCIDENCE? There are more ppl in US getting the virus..population control or bio weapon?,COCO evaluation CONSPIRACY,1,1,1,1,3,1,3,1,1,1,3,1
This #coronavirus situation is bringing a new world order. More quarantines physical &amp; digital robotic delivery geo tags food source trackers increased diseases surveillance health disaster preparedness closed borders... All these already exist. But scaled to 10x.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,3,1,1,1,1
I feel like this coronavirus is honestly population control Over 20000 people have been infected 11 of which are in the states however 425 Chinese people have died YET the first case that was in WA he has since been released and is in good health? So is it or isn’t it deadly??,COCO evaluation CONSPIRACY,1,1,1,1,1,1,3,1,1,1,1,1
"MMS (which is mainly bleach) is also being used as an ""alternative"" ""treatment"" for coronavirus. But it has been promoted as an autism ""cure"" for many years previous. The tremendous harm this quackery does to autistic children isn't a joke to me.",COCO evaluation RELATED,2,1,1,1,1,1,1,1,1,1,1,1
The source is known. #Wuhan's P4 Bioweapons labs which are #WHO accredited labs were collecting &amp; STEALING viruses from #Canada #France #Harvard &amp; others. #China has addmited this already &amp; it was kinda a joke that they were even allowing any story of bats for cover up as knew,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,3
Xi: I’d like to update you on coronavirus  Trump: Do us a favor though a lot of people are saying it was invented by Bill Gates and Soros...  Xi: Yes ok and we would like your full support to fight coronavirus.  Trump: Talk to Rudy he will give you a call.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Trump and cult think fraud billionaires can run America  Qanon and conspiracy theory doesn’t mean shit  when your dead.  #Trump Sabotaged America’s #Coronavirus Response Trump improvises his way through a public health crisis  the USA has NEVER been less prepared 4  #pandemic.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,3
Why isn’t Fonda &amp;her narcissistic  selfish  wealthy buddies in Wuhan China protesting against the communist Chinese gov bioweapons &amp;the egregious negligence of spreading a deadly virus throughout the world  “allegedly!” 😆,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Its bioweapon. India sciencists from top university found HIV strain in coronavirus genome. It couldnt get in there by itselfe. When you look at oak tree- you can tell its natural... You don't have to be sciencist to tell that 69 year Ford GT is manmade. Coronavirus is synthtetic,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,1,1
WHAT IF the coronavirus isn't a virus but a depopulation technique like our 9/11? same people different method? sick cruiseship aren't sick but hostages. why? b/c if they came off the ship they would TALK. hospital built within 10 days? no plumbing no doctors meds bathrooms,COCO evaluation CONSPIRACY,1,1,1,1,1,1,3,1,1,1,3,1
"They've done this for decades but #coronavirus empowers them to grab more people and have a good ""cover"" for it. Status quo for the Sheeple.   And we have ignorant Bernie supporters who won't study WORLD HISTORY &amp; learn from countries who have suffered under Socialism/Communism!",COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
the coronavirus seems suspicious to me the timing couldn’t be more suspect. The lack of interest in receiving assistance is concerning.  Could it  be a population control issue. Like natural selection but engineered. IDK but those poor people need better care.,COCO evaluation CONSPIRACY,1,1,1,1,2,1,3,1,1,1,1,1
We do have Coronavirus in Vietnam but so far only 15 people got it thanks to the Government's urgent action. It's not OK to discriminate foreigners while their countries are suffer both economically and spiritually because of an unknown Virus. That's just displaying evil.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
If that was true Trump would expose the real agenda of the communist socialist Chinese and the Zionist NWO for America and the American people. He would also tell you the coronavirus is a biological weapon to help progress their globalization agenda. Why haven't we left the UN?,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,3,1,1,3,1
Sad but I can't say I'm surprised. Unfortunately it's not just contagious in America but the rest of the world too. Even here the Netherlands Chinese people &amp; people of Asian descent are getting racist bullying since the #coronavirus Welcome to the new world order of #Hitler2.0,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,3,1,1,3,1
I disagree This fake pandemic is a False Flag PsyOp to cover the News Blackout in Hong Kong The Chinese Gov. troops are busy Quelling the open rebellion in Hong Kong and as we have seen in the past running people over with tanks makes for bad public relations,COCO evaluation CONSPIRACY,1,1,1,3,1,1,1,1,1,1,3,3
Avoiding conflict with the US is a strategy for defeat. The only way to defeat the Western Banking Cartel is to take the fight to them otherwise they will wipe you out like with the Covid-19 bioweapon stealth attack.They will do ANYTHING to maintain their control over the world,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,1,1
I’m not sure yet. Do they happen to have a level 4 lab and develop biological weapons in Wuhan? Yes. Was it Agenda 21/30 level depopulation? Not sure. Leaning towards accidental release of something they’ve been working on for militarized biological weapons testing at this time.,COCO evaluation RELATED,1,1,1,1,2,1,2,1,1,1,1,1
I haven't read Koontz in decades but I remembered noting that he must have had good Intelligence sources.  They likely told him about China's nascent biological weapons program in Wuhan. The novel followed from there.  If SARS-CoV-2 is a bioweapon it's a really shitty one.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
"NWO !!! Your barcode signals that you will be one of the earliest targets for compulsory Coronavirus quarantine and forced to take one of Bill Gates deadly vaccines this will gradually be extended to about 75% of the population under the US military`s ""Global Pandemic Campaign"".",COCO evaluation CONSPIRACY,1,1,3,1,1,1,1,3,1,1,3,1
I'd heard of the Wuhan bioweapons labs a few weeks ago didn't see any reason to pursue further seemed coincidental. But the PRC shutting down its economy triggering longterm changes that doesn't seem a plausible reaction to a new wet-market virus. With lack of transparency...,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
"There's also no guarantee that this was a ""finished product"" ready for use; it may well have been a trial-design that proved to have an undesired longevity.  I'm not saying Covid-19 is a bioweapon ... just that we ought not write-off such a possibility.",COCO evaluation RELATED,1,1,1,1,2,1,1,1,1,1,1,1
China has implemented a month long quarantine. They are also spraying everything with disinfectant in infected cities. We need to get ahead of this. Maybe we should test to see how severe the problem is today and implant measures to reduce the death toll immediately. #coronavirus,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
BREAKING: Many leading Chinese scientists are starting to speak out and say COVID-19 (coronavirus) originated at a government bioweapons research facility in Wuhan rather than the widely-held belief that it emerged from the city's Huanan seafood markets.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
When will that happen? I have so many healthy years left before the communist take over. (name calling just makes a Flex look so skinny and Coronavirus-like...anger is just losing control right?). The typing won't build any muscles.  You should try flexing like,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Seems to me that this whole Coronavirus really is starting to seen like a depopulation tactic. Bill gates has been talking about depopulation for years and funded the company who released the virus. Idk I could be reading it too deep. nobody would do something so evil :/,COCO evaluation RELATED,1,1,1,1,2,1,2,1,1,1,1,1
COVID19 from Ft Detrick released near Wuhan lab / mkt for easy “China did it” cover narrative seasoned with spicy Winnipeg arrest. Academics and journos “scramble to debunk” (kabuki) bogus cover theory while genospec bioweapon hobbles China Huawei Belt/Road global advance.,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,3,1
I don’t think it’s clear what the Chinese were up to in the Wuhan Institute of Virology. Dangerous virus research for medical purposes is good cover for bioweapon development. While this virus seemingly was not engineered - were they looking at CV for military purposes there?,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
2/2 between depopulation eugenics and the outbreak of super viruses and we speak exclusively to a Canadian businessman who heard from his Chinese employee that the Coronavirus patient zero worked at the Wuhan bioweapons labs before succumbing to the pestilence.,COCO evaluation CONSPIRACY,1,1,1,1,3,1,3,1,1,1,1,1
Every 100 years a plague comes along to thin out our population. I do not think its a coincidence that it happens every hundred years. 1820 1920 Spanish Flu 2020 COVID 19. I have my Earthquake supplies so Im ready for ANY disaster. Got to be ready in CA. Fire Quake Flood,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
I took a container of lysol wipes and looked at the back and it indeed does say helps with human coronavirus. How can it be a new disease when it's been on lysol containers for a long time? It isnt newthat's how. Someone is using it for biological warfare? Population control?,COCO evaluation CONSPIRACY,1,1,1,1,3,1,2,1,1,1,1,1
...Lawsuit then leads us directly to China as the Ground Zero for the external Beast System AND the cover of Covid19 in my adamant opinion. The genetics of the bioweapon Covid19 as explaind by Dr. Paul Cottrell [Paul Cottrell channel on You Tube] has a gene sequence that...,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,3,1
You mean the #Covid Apocalypse?  😉 Q also recently dropped “Population control.” Connected maybe?  #coronavirus has 3 routes of transmission-body fluids airborne and fecal. Lots of CA homeless public defecation incidents   27day( ?) infectious incubation period  R0 of 2.6 =????,COCO evaluation CONSPIRACY,1,1,1,1,1,1,3,1,1,1,1,1
W.H.O says the window of opportunity to contain the coronavirus is now closing. They're unable to contain the situation. The virus is spreading like wild bushfires. The evil bioweapon is now a major concern not only China but the whole globe.,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,1,1
Wrestling has largely become normal and sanitized at the top a guy like Jericho who believes the earth is flat the coronavirus is a false flag designed to spread fear and panic and other crazy shit is so crucial right now. Jon Moxley’s loner ass isn’t gonna cut it sorry,COCO evaluation RELATED,1,1,1,2,1,1,1,1,1,1,2,1
The fact that it has so easily circumvented containment and spread around the world suggests to me that it isn’t a bioweapon. You don’t want a bioweapon that will gradually make its way back to you. But I still think accidental release from the Wuhan lab could be possible.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
"CORONAVIRUS: CHINESE ESPIONAGE BEHIND WUHAN BIOWEAPON. False News Spreads More Rapidly on the Social Network Twitter Than Real News Does."" The Reason Say the Researchers May Be That the Untrue Statements Inspire Strong Feelings Such as Fear Disgust and Surprise.Bitcoin Anyways",COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
I've been criticizing the WHO for not declaring a pandemic they're uncredible at this point.  But you wouldn't know that because you're banned.  I don't run the server BTW I'm just a moderator. We're not paid by Gates Soros CCP or the Illuminati; sorry to disappoint you.,COCO evaluation RELATED,1,1,1,1,1,1,1,1,1,1,2,1
I believe Covid-19 was a Deep State attack against China's economy. Is this the case?  Why is Trump so confident that it won't cause a problem in the US?  If he has the means to mitigate the virus why isn't he helping the people in China?,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,1
Its the biggest mistake   is making. Dont trust your deep state bureacrats. They are waiting to create a  disaster to stab you in the back. Quaratntine quarantine travel restriction and stop flow of  from china  for a month or two.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,1
"... said a dinosaur who's been at the helm of the destruction if the #USA for DECADES!  What we ""need fast"" is HONEST POLITICIANS:  - WHO DID NOT ALLOW OUTSOURCING TO CHINA - WHO DO NOT SUPPORT RESEARCH OF MAD SCIENTISTS IN BIOTECH - WHO CAN STOP 5G (Coronavirus)  #QAnon sent me.",COCO evaluation CONSPIRACY,1,1,1,1,1,3,1,1,1,1,1,1
Several things are possible:  1. Coronavirus was developed as a bioweapon.  2. Coronavirus is an ineffective bioweapon.  3. It’s release inside China was unintentional.   There have been so many close calls where dangerous biological agents have almost been released,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Limbaugh and Qanon are telling folks that coronavirus is a false flag designed to tank the economy &amp; hurt Trump’s re-election and is nothing more than a cold.  That should help infection control measures when it hits the US. 🧐 When they realize the truth it’ll be too late.,COCO evaluation RELATED,1,1,1,2,1,1,1,1,1,1,2,1
Limbaugh proactively covering for Trump's future incompetence re: Covid-19 preparations. Next Limbaugh and all the other FOX talking heads will claim China invented Covid-19 just to bring down Trump in an election year and that the virus is actually a member of the deep state.,COCO evaluation RELATED,1,1,1,2,1,1,1,1,1,1,2,1
Bruce I work as a badge carrying member of the county EMS devices. If and when a state of emergency is declared we can legally detain quarantineand force treatment including prophylaxis.   It isn’t news it has been the law for over 125 years.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
"Does anyone think it's a coincidence that the deep state CDC made a statement about the "" hoax"" coronavirus on the same day as the democratic debate!! Giving the Democrats a platform to attack President Trump!! They think we are stupid!",COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,1
You're aware that the survival rate for your healthy adults is north of 99%.. correct?  I'm in more danger from my roommates flu than I am from coronavirus.   This is a manufactured population control event within the Chinese.   Manufactured effects elderly etc just like HIV,COCO evaluation CONSPIRACY,1,1,1,1,3,1,3,1,1,1,1,3
Nobody knew I can cure it It’s great Next: There is no virus There is virus but it’s ok There was virus but we didn’t know We knew but it’s not illegal Obama did it Nobody ever did more to cure pandemic  Blaablaaablaa,COCO evaluation RELATED,1,1,1,2,1,1,1,1,1,1,1,2
There were 49 million cases of the flu with 2100 deaths as of Dec 30th 2019. Trump stopped travel to China and made sure all infected and possibly infected with coronaviru were quarantined. I think Nnacy knows something all of us doesnt know. Maybe Soros let her in on the secret.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,1,3
With each attack launched by the Cabal (coronavirus MK Ultra shootings etc) there is an extremely dark underlying spiritual component to the attack.   We are in a war against Satanists who draw power from rituals &amp; sacrifices.   For this reason Q continues to post Ephesians 6.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,3,3,1
1/2 It's just the usual warfare. Has all the earmarks from my guess reading the experts of a bioweapon. Two labs involved: (1) lab in Winnipeg Canada where Harvard U. scientists also worked and (2) lab in Wuhan. I think Dr Francis Boyle referred to (1) as a bioweapons lab.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Flu 0.01% death rate. Covid 19 is 2% death rate - in a country with universal healthcare and rigid population control. US has 5 times the maternal mortality rate of western EU countries because of lack of healthcare and statutory sick leave. Any reason that problem won't apply?,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
For those conservatives that don't have 3 mins to do the research the death rate influenza in U.S. is around 1.4 per 10000 cases. The rate for covid-19 is 330 per 10000 cases. Trump is misinformed; those that point it out are fired. It's not a deep state conspiracy. Wake up.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,2,3
What scares me more is that this is just a FF distraction from a real pandemic. What won't these NWO globalists do to strike fear in people to bring down the economy. They are desperate to discredit Trump b/c they are shaking in their red boots.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,3,1,1,3,1
Irrational panic on the coronavirus to tank the market so money makers can buy low again &amp; make their profits all over again when they go up.And panic for the Deep State like Pelosi to attack Trump when NOT ONE person died here with coronavirus but Flu has killed 16000 in 2020,COCO evaluation CONSPIRACY,1,1,1,3,1,1,1,1,1,1,3,1
FACT: The coronavirus bioweapon could only have been launched and successfully covered up by an exceedingly powerful group of state actors corporate entities and transnational institutions that subscribe to the New World Order globalist agenda.,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,3,1,1,3,1
Its HILARIOUS that the #DEMs tried so hard to go after #Trump for cutting funding to the #CDC only to find out that the cuts NEVER WENT THROUGH!  Sure shut that noise down quickly! Trump's Katrina? More like one of Trump's coolest moments!  #MAGA #QAnon #Pandemic #Coronavirus,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Hmmm. I know there is a coronavirus outbreak. However. Be aware. #MSM AND THe deep state with there actors #pelosi #Schiff etc. will use it as a political weapon against  be ensuing fear on the American people. Businesses shutting down will hurt the economy. (1),COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,1
The VERY LIKELY REASON why the briefings are CLASSIFIED is that NATIONAL SECURITY is at Risk from Foreign Hostile Actors (like the Deep State) who could use this potential pandemic as a SECURITY WEAKNESS! BLUMY should know that. We Intel Vets do!,COCO evaluation RELATED,1,1,1,1,1,1,1,1,1,1,2,1
2/2 George Sorros and the Rothschilds and the Vatican are the illuminati now a day. Creating chaos and wars and setting this bio-warfare coronavirus off. They are scared of what is coming. They are being exposed. RIP JFK. He will rest after justice comes to these devilworshippers,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,3,1,3,3,1
You see this #CoronaVirus outbreak I believe it was an intentional Bio-weapon released by these sick/mad scientists and doomsday ambassadors to test their population control theory.. This virus didn't come from no animal it was cooked in a Lab somewhere by one deranged idiot,COCO evaluation CONSPIRACY,1,1,1,1,3,1,3,1,1,1,3,1
wore A SPECIAL GOLD LAPEL 3 TIMES SIGNIFYING HER INTENTION OF BEING SWORN IN as  1ST time when she postponed SOTU '19-NEXT When she ORDERED IMPEACHMENT-NEXT  '20 SOTU COUP FAILED! NOW THEY'RE IN MAD PANIC-LIKELY INVOLVED IN CORONAVIRUS W SOROS,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,3,1
"Uses for coronavirus= possible depopulation if not just a psyop and loss of bodily autonomy. Its Mainly about control.They can sell it all to you under the guise of the ""greater good."" Greater good philosophy is why they need you to be a global citizen. #NWO",COCO evaluation CONSPIRACY,1,3,1,3,1,1,3,3,1,1,1,1
I don’t buy into organized religion. I’m totally against it. But I do think there is something to the whole Antichrist thing and tRump fits in perfectly w/ who/what my childhood ministers described. The situation in this country (&amp; so the world- even w/out #Covid_19) is dire.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,3,1,1
Personally I'm excited for President Ra's al Bern to use deep state connections to the League of Assassins to acquire a Lazarus Pit rejuvenate himself and direct A.R.G.U.S. to acquire and mutate the coronavirus into a bioweapon to use against the world's billionaires.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
She and her mentors should volunteer to  for #coronavirus health emergency. That #pandemic can wipe out large global population in one year compared to UN #ClimateEmergency killing unborn generation in 2030.  Or that may be what UN wants. #Depopulation,COCO evaluation CONSPIRACY,1,1,1,1,1,1,3,1,1,1,1,1
This specific frequency is absorbed by oxygen. 60GHz causes the rotation of the electrons around the oxygen molecule to spin thus inhibiting the ability of hemoglobin to properly uptake these oxygen molecules.  Dana Ashlie  #COVID2019,COCO evaluation CONSPIRACY,1,1,1,1,1,3,1,1,1,1,1,1
Trump calling the coronavirus a hoax means he is literally planning TO DO NOTHING TO STOP IT. He has already made sure we were horrendously ill equipped to handle this by eliminating the pandemic response team. Now he’s saying “there is no virus.” #TrumpWillKillUsAll,COCO evaluation CONSPIRACY,1,1,1,2,1,1,1,1,1,1,1,3
media is a mouthpiece for George Soros Do you know what an Opinion piece is  Its what one feels about a situation in this case it sounds like indigestion. Stock market indicative of a country hiding an epidemic until deaths leak outlike China did.,COCO evaluation UNRELATED,1,1,1,1,1,1,1,1,1,1,1,1
Corona is a bioweapon that was co-developed by the Russians and the Chinese. The team was transporting it to Wuhan airport to fly a sample to Russia and there was an accident and the samples got out. Some Russian soldiers were infected by it. They went home via Tehran - bingo.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,1,3
Did Soros?Obama’s Shadow Government?Democrats?Started This Coronavirus? Forgive Me If I’m Wrong 🥰 Timing Is TooStrange! Right Before ChineseNewYear! Just When Everything Going So Well WithAmerica! 2020ElectionYear! The Swamp Is Being Exposed! Ask CNN!🥰 Investigate Please!😘❤️,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,2,1
Bill Gates made the most irresponsible statement saying  Coronavirus May well be the worst Pandemic in 100 Years‼️🧐 He’s a POS. Wasn’t The Melinda &amp; Bill Gates Vaccines Org Kicked Out Of India bc Children we’re getting terrible diseases from vaccines⁉️,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,3,2
Nothing like Iran. Wuhan bioweapons lab had direct flights to Iran as Wuhan scientists manage Iran’s nuclear program. The death rates of Iran &amp; China are unlike any other country. Why? 2 different strains. Check your data. No need for sensationalism.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,1,3
If Trump were to contract the coronavirus we can only imagine the twisted conspiracy theories from his cultists and the #QAnon nutbags.  Democrats sprayed it from chemtrails!  Hillary put it in his soup!  Soros laced his KFC buckets!  WAKE UP SHEEPLE!,COCO evaluation RELATED,1,1,1,1,2,1,1,1,1,1,2,1
I heard a healthcare employee I’m friends with tell someone today she thinks COVID-19 was man-made to do population control   Like....how....why....  I’m all for conspiracy theories but like. Why would you say those to non-healthcare people that are worried🥴,COCO evaluation RELATED,1,1,1,1,2,1,2,1,1,1,1,1
It's because Deep State is orchestrating this epidemic and blocking the release of Avigan. You can't count on the Japanese government as Prime Minister Abe is a member of Deep State too. You can require Zhejiang Hisun Pharmaceutical to release Avigan,COCO evaluation CONSPIRACY,3,1,1,1,3,1,1,1,1,1,3,1
The virus has mutated from its original form. They have lost control of their bioweapon. Even the pope has that shit now lol. Even if they created a vaccine to one form of COVID19 it would not work on the other mutated forms. Let’s hope it has been coded to turn itself off ⏳,COCO evaluation CONSPIRACY,1,1,1,1,3,1,1,1,1,1,3,1
I’m not a conspiracy theorist but if you do the research you will find coronavirus is a weapon for population control to keep us in fear so reptilians underlords can keep us in control with false flagschem trails fluoride and hiding the fact earth is flat and Jesus loves you,COCO evaluation CONSPIRACY,1,1,1,1,3,1,3,1,3,1,3,1
No I think that it was created in a bioweapons lab in Wuhan because it has four insertions from HIV which wouldn't happen if its origin was in nature.  Patient Zero didn't go to the seafood market where the Chinese gov't said it began.,COCO evaluation CONSPIRACY,1,1,1,1,1,1,1,1,1,1,1,3
"It's a pretty big leap from ""5G frequencies can impact cells"" to ""5G is a trigger that will activate a Coronavirus plague!"" tho isn't it?  Coronaviris is a bioweapon combining a cold bug with HIV. Wtf does that have to do with 5G? Plenty of legitimate weirdness w/o making it up.",COCO evaluation CONSPIRACY,1,1,1,1,1,2,1,1,1,1,1,3
